#{"t_start": 1785248618.500788, "env_id": "CartPole-v1"}
r,l,t
12.0,12,0.755494
24.0,24,0.756796
17.0,17,0.757309
15.0,15,0.757721
15.0,15,0.758219
19.0,19,0.758799
27.0,27,0.806124
22.0,22,0.810013
15.0,15,0.812798
47.0,47,0.820826
15.0,15,0.823446
57.0,57,0.83269
15.0,15,0.834618
39.0,39,0.841183
16.0,16,0.843661
23.0,23,0.847147
23.0,23,0.850648
16.0,16,0.853124
21.0,21,0.856824
19.0,19,0.860079
34.0,34,0.864865
26.0,26,0.869135
22.0,22,0.87299
13.0,13,0.874794
35.0,35,0.880406
22.0,22,0.884138
10.0,10,0.88535
11.0,11,0.887365
50.0,50,0.89516
39.0,39,0.901156
32.0,32,0.906774
13.0,13,0.908833
14.0,14,0.911323
24.0,24,0.914877
30.0,30,0.919094
20.0,20,0.922444
42.0,42,0.929072
13.0,13,0.930961
13.0,13,0.932955
12.0,12,0.934986
18.0,18,0.938512
21.0,21,0.941791
13.0,13,0.943753
17.0,17,0.946796
20.0,20,0.949989
12.0,12,0.952026
23.0,23,0.955161
26.0,26,0.959398
51.0,51,0.967433
13.0,13,0.969668
19.0,19,0.972734
28.0,28,0.976964
41.0,41,0.983319
11.0,11,0.985093
9.0,9,0.98646
9.0,9,0.987724
38.0,38,0.993839
13.0,13,0.995876
58.0,58,1.004815
43.0,43,1.01167
18.0,18,1.014821
21.0,21,1.018072
21.0,21,1.0215
16.0,16,1.024422
16.0,16,1.026874
15.0,15,1.029484
28.0,28,1.03383
12.0,12,1.035728
14.0,14,1.038035
34.0,34,1.043679
39.0,39,1.050088
26.0,26,1.054215
31.0,31,1.063293
13.0,13,1.065234
17.0,17,1.067547
9.0,9,1.069359
32.0,32,1.074697
53.0,53,1.082629
23.0,23,1.086261
18.0,18,1.089669
32.0,32,1.094762
22.0,22,1.098712
22.0,22,1.101887
21.0,21,1.105289
40.0,40,1.122149
17.0,17,1.12565
25.0,25,1.129862
17.0,17,1.132694
16.0,16,1.135505
20.0,20,1.139193
28.0,28,1.143755
18.0,18,1.14692
18.0,18,1.149678
39.0,39,1.156234
9.0,9,1.157623
28.0,28,1.162201
11.0,11,1.164102
21.0,21,1.167169
21.0,21,1.170428
12.0,12,1.172806
23.0,23,1.176913
38.0,38,1.183464
40.0,40,1.189768
10.0,10,1.191248
19.0,19,1.194593
21.0,21,1.198253
11.0,11,1.20012
11.0,11,1.202108
15.0,15,1.204598
16.0,16,1.207588
22.0,22,1.211394
14.0,14,1.213729
9.0,9,1.21613
12.0,12,1.219845
23.0,23,1.227237
14.0,14,1.229699
18.0,18,1.232487
19.0,19,1.235561
13.0,13,1.238005
13.0,13,1.241225
20.0,20,1.244827
19.0,19,1.247761
18.0,18,1.251054
11.0,11,1.253254
24.0,24,1.257711
16.0,16,1.260494
15.0,15,1.262552
21.0,21,1.266625
15.0,15,1.268691
11.0,11,1.270664
11.0,11,1.27317
19.0,19,1.27678
11.0,11,1.278198
16.0,16,1.280805
19.0,19,1.284151
17.0,17,1.287211
15.0,15,1.290443
19.0,19,1.293827
16.0,16,1.296494
13.0,13,1.298952
16.0,16,1.301714
14.0,14,1.304461
9.0,9,1.306331
12.0,12,1.308739
14.0,14,1.310936
14.0,14,1.31353
11.0,11,1.315664
12.0,12,1.318345
13.0,13,1.320717
10.0,10,1.322528
14.0,14,1.325334
15.0,15,1.328026
18.0,18,1.330843
20.0,20,1.334616
11.0,11,1.337002
14.0,14,1.339756
20.0,20,1.343217
23.0,23,1.347287
18.0,18,1.350657
15.0,15,1.353095
12.0,12,1.356059
11.0,11,1.358207
15.0,15,1.360927
17.0,17,1.363799
10.0,10,1.365885
13.0,13,1.368014
13.0,13,1.370465
11.0,11,1.373079
15.0,15,1.375799
17.0,17,1.378555
12.0,12,1.380569
21.0,21,1.383987
18.0,18,1.387478
10.0,10,1.389133
13.0,13,1.391201
11.0,11,1.393229
24.0,24,1.397226
15.0,15,1.399849
12.0,12,1.402076
18.0,18,1.405498
15.0,15,1.408535
9.0,9,1.410099
10.0,10,1.412141
10.0,10,1.413524
9.0,9,1.415541
11.0,11,1.417209
17.0,17,1.4206
12.0,12,1.423118
14.0,14,1.425351
9.0,9,1.427046
11.0,11,1.429115
12.0,12,1.431132
12.0,12,1.433242
28.0,28,1.43823
13.0,13,1.440558
12.0,12,1.442757
16.0,16,1.445676
16.0,16,1.448582
10.0,10,1.450594
20.0,20,1.454739
11.0,11,1.457696
10.0,10,1.459549
12.0,12,1.462221
12.0,12,1.465161
11.0,11,1.467759
16.0,16,1.472753
15.0,15,1.477508
13.0,13,1.482027
11.0,11,1.484461
18.0,18,1.48779
14.0,14,1.49086
12.0,12,1.492942
11.0,11,1.498919
9.0,9,1.501018
14.0,14,1.503538
8.0,8,1.505375
11.0,11,1.507505
13.0,13,1.509538
17.0,17,1.512289
17.0,17,1.515863
12.0,12,1.51807
16.0,16,1.521012
14.0,14,1.523609
18.0,18,1.527156
13.0,13,1.529222
15.0,15,1.531838
9.0,9,1.533268
11.0,11,1.535295
9.0,9,1.537089
11.0,11,1.539585
12.0,12,1.541775
13.0,13,1.544033
21.0,21,1.547625
18.0,18,1.551066
9.0,9,1.552648
20.0,20,1.556539
9.0,9,1.558181
16.0,16,1.561044
14.0,14,1.563903
11.0,11,1.565561
11.0,11,1.567563
12.0,12,1.570029
18.0,18,1.573855
18.0,18,1.576566
12.0,12,1.578639
14.0,14,1.581176
12.0,12,1.583202
16.0,16,1.586184
19.0,19,1.589562
15.0,15,1.592203
22.0,22,1.596123
12.0,12,1.598503
18.0,18,1.60159
12.0,12,1.604322
18.0,18,1.607908
11.0,11,1.6096
16.0,16,1.612286
13.0,13,1.615016
11.0,11,1.616573
9.0,9,1.618582
11.0,11,1.620535
12.0,12,1.622688
11.0,11,1.624826
11.0,11,1.626926
10.0,10,1.628545
11.0,11,1.630627
11.0,11,1.632733
12.0,12,1.634713
11.0,11,1.637046
10.0,10,1.638724
11.0,11,1.640858
12.0,12,1.643102
23.0,23,1.64749
11.0,11,1.649071
10.0,10,1.651105
10.0,10,1.652699
11.0,11,1.654953
12.0,12,1.657121
13.0,13,1.659136
9.0,9,1.661154
8.0,8,1.66264
15.0,15,1.665037
10.0,10,1.667138
11.0,11,1.669247
9.0,9,1.670859
12.0,12,1.673021
18.0,18,1.675788
11.0,11,1.677731
12.0,12,1.679864
14.0,14,1.682455
10.0,10,1.683975
21.0,21,1.687569
11.0,11,1.689641
10.0,10,1.69174
14.0,14,1.694074
12.0,12,1.696212
16.0,16,1.699448
8.0,8,1.700897
10.0,10,1.703014
10.0,10,1.704776
14.0,14,1.707592
10.0,10,1.709144
15.0,15,1.712338
10.0,10,1.714042
13.0,13,1.716899
10.0,10,1.718517
11.0,11,1.720837
10.0,10,1.722565
9.0,9,1.72457
