#{"t_start": 1787580510.9069598, "env_id": "Pendulum-v1"}
r,l,t
-1617.864902,200,0.056946
-854.138993,200,0.115083
-874.219881,200,0.172596
-1565.005695,200,0.231878
-960.419621,200,0.290464
-1527.389158,200,0.350082
-1636.197603,200,0.413482
-1167.550776,200,0.478405
-859.35807,200,0.539024
-1358.509295,200,0.602203
-1449.508544,200,0.963121
-1535.364614,200,1.029454
-966.60349,200,1.091527
-1066.375152,200,1.153883
-934.550663,200,1.217752
-1022.319827,200,1.282346
-1080.620578,200,1.34527
-1113.552321,200,1.408243
-1235.427828,200,1.472919
-1257.558665,200,1.537437
-1197.399515,200,1.741042
-1214.839939,200,1.80734
-1046.398452,200,1.873728
-1653.092768,200,1.939227
-856.650184,200,2.00424
-1585.942724,200,2.070249
-1032.99817,200,2.137417
-910.528934,200,2.205912
-998.615574,200,2.273834
-1564.346603,200,2.341633
-1671.930037,200,2.544359
-1581.805692,200,2.613707
-1825.198624,200,2.683862
-1381.758873,200,2.752926
-1117.00826,200,2.826778
-1269.78951,200,2.898939
-993.216852,200,2.987174
-1477.182878,200,3.072156
-1516.243599,200,3.148589
-1426.747598,200,3.230043
-1578.099537,200,3.441591
-1764.217881,200,3.516279
-1223.59176,200,3.593187
-1131.808854,200,3.673184
-1791.813101,200,3.75456
-1081.472853,200,3.861191
-1166.702328,200,3.977782
-1273.712978,200,4.079705
-1075.3097,200,4.160256
-1234.916058,200,4.246525
-1378.809641,200,4.497271
-1076.343869,200,4.583425
-1289.591856,200,4.664147
-1517.73816,200,4.752029
-1553.997152,200,4.889444
-1349.760114,200,4.975019
-1223.382852,200,5.055209
-1526.631177,200,5.137618
-1126.480831,200,5.218346
-1538.778722,200,5.294688
-1352.038285,200,5.51898
-1447.470818,200,5.596835
-1532.549006,200,5.673087
-1506.36023,200,5.752202
-1577.135291,200,5.83538
-1451.618112,200,5.912441
-1490.193217,200,5.9885
-1488.665821,200,6.067396
-1256.518567,200,6.144656
-1410.874886,200,6.220804
-1468.075,200,6.431781
-1511.644874,200,6.50825
-1539.127222,200,6.584354
-1583.505582,200,6.659698
-1574.122017,200,6.735137
-1443.238763,200,6.811236
-1313.46337,200,6.890324
-1554.127048,200,6.965435
-1625.423395,200,7.041214
-1483.487593,200,7.116522
-1522.064722,200,7.328316
-1533.682136,200,7.404147
-1293.228258,200,7.480394
-1409.581037,200,7.555754
-1478.091686,200,7.631384
-1375.473957,200,7.707347
-1526.132631,200,7.783572
-1536.364444,200,7.861005
-1518.043653,200,7.936742
-1417.515145,200,8.011614
-1426.380928,200,8.220634
-1526.946068,200,8.297361
-1530.956028,200,8.373751
-1523.811879,200,8.452322
-1401.910732,200,8.528957
-1529.607905,200,8.604856
-1527.942878,200,8.681304
-1485.625554,200,8.756444
-1583.556306,200,8.832211
-1378.82097,200,8.908147
-1734.472996,200,9.118587
-1699.197284,200,9.194152
-1298.716811,200,9.271089
-1639.338713,200,9.346926
-1605.691587,200,9.422608
-1154.80642,200,9.498342
-1229.271775,200,9.574695
-1425.282328,200,9.650494
-1713.673808,200,9.726129
-1528.432298,200,9.802336
-1299.376681,200,10.012435
-1527.755858,200,10.088559
-1650.840578,200,10.164059
-1464.082155,200,10.240307
-1489.459038,200,10.315841
-1528.777865,200,10.391251
-1545.6973,200,10.466708
-1472.171985,200,10.547691
-1581.044372,200,10.62435
-1641.373656,200,10.701161
-1359.626776,200,10.917617
-1540.423844,200,10.993676
-1535.535045,200,11.069393
-1639.478264,200,11.145969
-1502.485125,200,11.22373
-1571.914072,200,11.30247
-1559.299236,200,11.378395
-1568.950155,200,11.454266
-1667.825644,200,11.52973
-1561.224511,200,11.605213
-1544.226294,200,11.81311
-1613.934064,200,11.88878
-1549.2002,200,11.964112
-1620.017134,200,12.039506
-1464.859864,200,12.114889
-1550.915539,200,12.190755
-1485.863326,200,12.267547
-1477.104088,200,12.34318
