#{"t_start": 1785596977.238475, "env_id": "Pendulum-v1"}
r,l,t
-888.120495,200,8.958596
-1161.507303,200,14.545351
-1591.012552,200,18.400138
-1462.612062,200,22.555231
-1717.042541,200,26.357384
-1685.650058,200,30.301288
-1435.263214,200,35.273211
-1611.426327,200,39.838298
-1416.845228,200,43.894501
-1199.545189,200,47.891373
-1126.707793,200,53.486807
-1014.272605,200,58.445543
-978.177378,200,62.686679
-646.86919,200,66.962538
-907.552907,200,70.815281
-257.673821,200,76.233695
-0.74602,200,80.447578
-372.299138,200,84.691194
-128.913752,200,88.91563
-387.484019,200,93.272683
-237.755341,200,104.147476
-238.121325,200,112.296049
-124.392858,200,123.137501
-122.168338,200,127.940149
-0.827136,200,150.593046
-123.096263,200,157.327382
-233.405441,200,161.519343
-328.556868,200,171.056833
-236.284878,200,177.111445
-119.227278,200,181.730793
-124.974256,200,187.935861
-115.428032,200,193.875012
-119.443259,200,200.242455
-124.273606,200,208.014799
-342.065947,200,213.302666
-120.822539,200,218.033134
-124.561936,200,221.894149
-121.38653,200,225.934837
-118.004453,200,230.441376
-258.55439,200,234.620074
-250.314414,200,239.626093
-120.574185,200,243.750829
-238.333273,200,247.806786
-123.861001,200,253.446162
-230.412315,200,259.586433
-123.039873,200,265.93336
-123.184706,200,273.208679
-251.494832,200,280.746674
-248.41337,200,284.980812
-126.121266,200,289.093235
