#{"t_start": 1784644920.73723, "env_id": "Pendulum-v1"}
r,l,t
-1321.553773,200,0.874554
-1605.83069,200,2.571991
-1495.532953,200,4.250646
-1527.292513,200,5.916849
-1486.020898,200,7.597972
-1494.969375,200,9.317862
-1494.411114,200,10.993867
-1471.732091,200,12.665976
-1498.611195,200,14.540473
-1367.984936,200,16.285772
-1222.360062,200,18.182616
-1494.488395,200,19.855947
-1314.077063,200,21.531063
-1041.27818,200,23.208103
-1494.879931,200,24.915194
-1095.114269,200,26.588562
-955.302668,200,28.248668
-814.821336,200,29.907245
-789.931384,200,31.582885
-951.911851,200,33.246727
-665.403598,200,35.138746
-697.086603,200,36.833637
-578.100586,200,38.590106
-136.903262,200,40.318015
-1.420238,200,42.151096
-593.375823,200,44.204145
-141.534568,200,46.095307
-395.322138,200,47.922947
-959.134448,200,49.806375
-127.893253,200,51.623291
-241.073632,200,53.629769
-128.226895,200,55.412758
-119.251088,200,57.190354
-234.176546,200,59.103958
-283.690647,200,60.979535
-296.526854,200,62.798888
-127.931349,200,64.689697
-128.991634,200,66.628469
-244.466418,200,68.468549
-127.245602,200,70.401806
-128.668076,200,72.361402
-131.533544,200,74.091877
-119.46284,200,75.831094
-246.667018,200,77.56797
-243.332058,200,79.292507
-118.451289,200,81.011959
-120.295265,200,82.729804
-117.944223,200,84.445874
-128.221465,200,86.172892
-130.202967,200,87.899166
-234.896658,200,89.83401
-251.389663,200,91.562158
-121.349074,200,93.354479
-126.624683,200,95.1341
-310.264479,200,96.857924
-121.990269,200,98.640836
-237.855392,200,100.409481
-118.913698,200,102.138736
-129.767999,200,103.860199
-129.018411,200,105.592281
-2.147854,200,107.533213
-225.08279,200,109.284003
-120.653636,200,111.051978
-119.632744,200,112.791535
-120.321019,200,114.528216
-130.804982,200,116.259385
-128.384841,200,117.993655
-129.580618,200,119.73187
-128.940423,200,121.456256
-116.340961,200,123.186455
-128.785533,200,125.213676
-126.215713,200,126.948789
-228.038417,200,128.671814
-218.637586,200,130.447215
-123.558036,200,132.172891
-119.802093,200,133.904102
-0.405381,200,135.629479
-343.120134,200,137.345512
-123.881539,200,139.124454
-124.893996,200,140.863397
-115.472932,200,142.789229
-329.213654,200,144.51589
-128.474699,200,146.236448
-122.120346,200,147.971829
-331.590487,200,149.694363
-226.942607,200,151.423707
-119.319645,200,153.206894
-126.801813,200,154.957552
-333.815745,200,156.678383
-227.35567,200,158.465592
-233.312236,200,160.418338
-120.192786,200,162.14887
-254.200221,200,163.888773
-230.418473,200,165.62374
-118.618367,200,167.339629
-0.505032,200,169.244271
-132.268878,200,171.190449
-0.451704,200,173.098429
-124.742312,200,174.953851
-230.600231,200,176.789481
-118.275981,200,178.854186
-331.313342,200,180.676837
-127.493678,200,182.547528
-124.899393,200,184.393358
-126.056623,200,186.15078
-226.643492,200,187.877912
-231.770193,200,189.614965
-125.144746,200,191.391022
-119.33586,200,193.161886
-118.771548,200,194.891694
-125.257832,200,196.805201
-232.473402,200,198.522052
-228.908591,200,200.236849
-240.423966,200,201.956987
-0.629746,200,203.68153
-118.337369,200,205.464959
-239.309231,200,207.194349
-118.284845,200,208.898462
-227.30915,200,210.616196
-300.550017,200,212.38097
-5.596935,200,214.314055
-124.147216,200,216.032334
-118.273764,200,217.828648
-1.282374,200,219.544296
-1.318971,200,221.297877
-127.298675,200,223.009369
-232.651588,200,224.716451
-236.751401,200,226.429957
-125.225615,200,228.146818
-220.12481,200,229.901768
-118.509304,200,231.841574
-122.062325,200,233.5519
-117.729542,200,235.261202
-1.909146,200,237.066365
-345.916597,200,238.791315
-126.988743,200,240.49519
-228.330523,200,242.218535
-236.089498,200,243.995414
-1.445729,200,245.707546
-225.695436,200,247.428781
-115.581473,200,249.356614
-345.289157,200,251.100669
-127.349939,200,252.804477
-118.039186,200,254.514332
-117.438124,200,256.230829
