#{"t_start": 1783269253.243687, "env_id": "None"}
r,l,t
-0.221142,25,0.016121
33.718478,42,0.03432
-0.253576,12,0.039348
0.374757,13,0.044801
8.982314,14,0.050651
13.028197,17,0.057675
1.270761,13,0.063191
8.210622,33,0.076742
5.029101,24,0.088009
10.651009,21,0.097581
27.600275,32,0.112196
2.662084,20,0.120747
10.643719,37,0.136201
5.601935,31,0.148873
12.185829,42,0.166094
7.307849,13,0.171507
11.821323,18,0.179508
17.704387,23,0.189265
7.643852,18,0.197377
12.284239,14,0.203378
21.62859,30,0.217455
6.366182,13,0.223205
2.73685,47,0.243727
4.023118,10,0.247903
10.679835,20,0.256416
1.8247,16,0.262986
15.51038,19,0.271121
13.865181,19,0.279308
4.847071,15,0.285507
3.896656,33,0.29942
7.865641,12,0.304896
13.909226,16,0.311661
7.432725,30,0.323947
36.845657,38,0.339304
10.76625,12,0.344196
8.947768,19,0.352167
-0.501686,12,0.357423
-0.267339,12,0.362406
-11.031129,56,0.385934
1.242349,13,0.391302
8.442322,19,0.399908
3.694293,36,0.414897
11.799905,39,0.43096
7.884366,22,0.439909
11.141485,23,0.449198
13.769589,21,0.458428
3.765685,11,0.462922
26.491408,44,0.481498
6.116532,20,0.49
1.641344,34,0.504881
6.09512,11,0.509649
37.058807,40,0.526409
21.125552,45,0.544671
0.908889,11,0.549152
-3.842278,32,0.562557
5.65427,19,0.570456
3.221175,27,0.581564
6.882165,20,0.58997
9.959922,16,0.597041
33.319509,35,0.611365
7.722308,14,0.617188
15.603902,20,0.625604
16.902625,18,0.63286
6.349512,23,0.642734
3.426095,12,0.647716
14.643654,16,0.654727
6.961441,24,0.664817
7.526358,40,0.681168
27.808376,38,0.697262
6.443984,17,0.704826
6.378816,14,0.710908
16.116532,17,0.717932
6.178538,17,0.725329
5.902654,10,0.729452
1.044754,14,0.73548
45.90201,79,0.767962
5.770116,11,0.772565
1.213748,15,0.778729
21.411258,24,0.788342
4.280493,16,0.796091
14.366249,46,0.816913
5.628342,19,0.82478
1.588852,22,0.833859
19.441205,21,0.842479
9.798568,20,0.850684
12.201945,17,0.857616
5.832784,22,0.866424
14.455597,22,1.50973
12.835643,18,1.517492
5.989055,9,1.521245
25.912639,27,1.532535
8.706938,13,1.537881
4.181958,18,1.545876
6.950761,15,1.552139
10.803292,15,1.558593
7.976863,11,1.563214
21.419985,23,1.573219
9.537177,14,1.579165
12.06294,41,1.596483
65.362108,85,1.632171
8.28962,13,1.637527
0.742573,25,1.647768
3.270209,28,1.659711
17.20949,18,1.667354
38.506202,65,1.694539
9.865439,12,1.699452
16.776419,34,1.714854
17.110931,23,1.724892
16.696191,58,1.748738
13.935832,60,1.774326
2.987076,20,1.782717
11.875191,21,1.791576
27.147706,35,1.806306
31.131436,54,1.83136
2.981458,19,1.841506
-0.505847,32,1.857088
4.868318,14,1.863654
4.986456,14,1.869925
8.886715,13,1.875525
4.049156,19,1.885065
31.96453,40,1.904645
8.86836,13,1.91135
5.553214,13,1.917613
5.263897,12,1.923375
7.613714,28,1.936774
2.652239,15,1.944129
12.193547,24,1.955554
10.164778,14,1.962354
1.438427,21,1.971036
49.658089,62,1.99721
24.141478,30,2.009807
13.480799,30,2.021937
6.090693,22,2.0313
10.00888,13,2.03671
36.773899,46,2.055913
11.379426,12,2.061099
8.091267,29,2.073858
11.224092,30,2.086251
12.317674,23,2.095739
4.133031,17,2.102902
17.093021,21,2.112065
9.169067,37,2.127564
5.510444,26,2.138356
6.080474,28,2.150265
-6.334617,53,2.172282
29.132098,32,2.185611
12.462605,27,2.196693
50.10283,56,2.221006
3.83427,17,2.228409
-0.648514,12,2.233329
-0.136618,100,2.275294
26.335722,31,2.287851
16.514771,19,2.295689
-7.435408,59,2.320703
37.62569,40,2.336951
9.274777,13,2.342336
2.971026,16,2.348832
8.56646,24,2.359155
28.058726,29,2.371427
34.124252,37,2.387011
1.339787,25,3.056488
2.706233,26,3.067726
6.753761,38,3.083739
47.072087,49,3.104187
11.81938,14,3.110111
52.411675,82,3.144774
15.327331,32,3.158226
9.145967,13,3.163608
22.665497,66,3.191232
-3.116192,78,3.224161
36.074902,85,3.259952
-17.47135,107,3.304896
23.555358,31,3.317973
70.838325,87,3.354217
20.678953,30,3.367119
8.888215,20,3.375398
10.171015,58,3.399269
21.385475,24,3.409838
18.999747,27,3.421948
18.935622,26,3.450065
15.350404,113,3.497354
92.825914,111,3.545853
42.528346,45,3.564777
12.568042,55,3.587919
35.85439,55,3.611386
31.754752,55,3.634915
22.611763,40,3.654249
30.509747,83,3.689683
12.090624,27,3.700895
6.435578,47,3.7208
1.44658,10,3.725045
1.333041,16,3.732398
-28.523137,77,3.764327
0.798775,33,3.77837
8.891046,58,3.803171
10.830251,16,3.81015
2.547626,11,3.815331
15.188546,17,3.822983
18.662794,52,3.845392
41.003768,51,3.869466
11.157726,24,3.879758
10.313927,36,3.895692
6.628064,36,3.911115
13.946632,49,3.931167
13.223658,65,4.60249
9.336936,17,4.610107
8.063379,59,4.63591
7.360675,14,4.643086
9.5208,15,4.649685
59.14885,110,4.696611
3.856697,73,4.727868
47.768382,86,4.764035
9.459457,45,4.783193
-11.944886,55,4.806459
22.444316,23,4.816201
4.532442,43,4.834351
94.810438,122,4.887928
15.387592,20,4.8968
11.883817,34,4.911828
10.581822,16,4.918548
60.352354,119,4.969679
1.628262,28,4.98242
10.194776,44,5.003555
37.540795,73,5.036643
26.58226,61,5.062578
0.626578,35,5.077431
-9.031003,161,5.145342
-1.597481,69,5.175591
40.513486,109,5.221408
29.152326,45,5.240643
-0.83638,82,5.275104
-34.207295,119,5.325533
72.320522,97,5.365814
3.718427,98,5.407336
5.087821,32,5.420912
79.662989,92,5.458926
93.99375,132,6.156834
2.582728,80,6.190938
12.017065,42,6.208798
12.545458,43,6.226576
-1.866525,36,6.241868
11.317209,37,6.257542
1.969176,64,6.285717
116.460129,145,6.346882
81.141308,98,6.387751
92.440527,137,6.444771
9.47072,52,6.466763
46.726258,76,6.500399
76.037918,101,6.694088
12.756566,61,6.719996
7.318247,45,6.738674
34.857013,79,6.772019
-5.726182,66,6.800511
-5.820314,71,6.856042
4.489382,84,6.898515
91.490368,133,6.974375
17.883346,58,7.001323
26.755996,62,7.029233
47.053948,74,7.061895
5.160442,22,7.07191
79.135901,113,7.140219
36.481918,58,7.166528
160.650343,195,7.898843
1.903533,29,7.913107
56.482233,73,7.945529
9.079709,25,7.956335
17.804202,90,7.994691
6.272901,21,8.003813
0.95082,37,8.019357
53.655464,78,8.051429
32.479451,62,8.077852
-3.717737,63,8.104376
-0.198015,81,8.138672
55.040091,88,8.175422
2.213197,28,8.187122
53.762892,72,8.2175
4.867271,69,8.246556
1.667551,43,8.268187
90.883092,144,8.329297
17.974677,85,8.364444
133.621489,201,8.448485
56.191275,70,8.479062
6.770753,44,8.498083
20.978103,43,8.515973
-2.154543,41,8.532876
-4.968723,91,8.578067
83.279644,201,8.663111
99.128623,201,9.393082
26.354128,60,9.419174
17.009793,70,9.448455
91.593768,147,9.510512
94.527542,134,9.566488
-11.124245,55,9.589842
108.413089,150,9.653442
72.717506,88,9.690434
33.060375,78,9.722701
68.780364,99,9.765434
71.913765,90,9.803714
-2.667265,195,9.886638
3.09666,41,9.903626
4.251812,69,9.934444
74.199937,106,9.981039
86.144585,137,10.038682
19.264885,49,10.05942
19.117625,50,10.08065
65.796354,75,10.113467
1.964727,27,10.124962
-8.542626,68,10.154301
84.754308,117,10.204239
8.765801,37,10.220361
96.334647,134,10.932482
100.240639,163,11.004675
102.082939,152,11.069496
85.062559,153,11.132885
97.897131,157,11.216015
37.554571,116,11.265115
95.502541,142,11.326577
89.450908,134,11.38406
14.662945,55,11.408101
117.595974,178,11.484847
84.88892,140,11.54398
49.030574,136,11.60121
60.082235,94,11.640731
-0.515351,12,11.646152
-1.852475,53,11.668185
23.392118,66,11.696132
80.331902,125,11.749864
89.311043,146,12.46884
83.853382,155,12.534529
2.321509,40,12.551384
23.119066,64,12.578583
