#{"t_start": 1787608358.6492941, "env_id": "CartPole-v1"}
r,l,t
18.0,18,0.632003
16.0,16,0.632478
11.0,11,0.632783
14.0,14,0.633154
11.0,11,0.63353
15.0,15,0.633946
24.0,24,0.688956
26.0,26,0.693518
58.0,58,0.703167
22.0,22,0.706302
14.0,14,0.708492
20.0,20,0.71124
10.0,10,0.712415
12.0,12,0.714026
24.0,24,0.719247
20.0,20,0.722398
14.0,14,0.724762
17.0,17,0.72711
37.0,37,0.732967
16.0,16,0.73517
15.0,15,0.737424
25.0,25,0.741486
22.0,22,0.745553
26.0,26,0.749233
16.0,16,0.751741
52.0,52,0.760288
79.0,79,0.77389
26.0,26,0.777319
29.0,29,0.781763
19.0,19,0.784209
23.0,23,0.787478
17.0,17,0.789638
32.0,32,0.793985
11.0,11,0.795598
39.0,39,0.801065
44.0,44,0.806939
34.0,34,0.811211
25.0,25,0.814852
36.0,36,0.819733
19.0,19,0.821952
11.0,11,0.823524
18.0,18,0.826096
13.0,13,0.827809
21.0,21,0.830528
16.0,16,0.832655
32.0,32,0.837432
10.0,10,0.838966
27.0,27,0.842223
17.0,17,0.844782
14.0,14,0.846498
24.0,24,0.849785
14.0,14,0.851951
19.0,19,0.854222
22.0,22,0.857394
22.0,22,0.860074
33.0,33,0.864719
19.0,19,0.867075
12.0,12,0.868979
13.0,13,0.871101
26.0,26,0.874471
17.0,17,0.876668
12.0,12,0.878266
18.0,18,0.880912
13.0,13,0.882542
13.0,13,0.884262
24.0,24,0.887465
50.0,50,0.894292
16.0,16,0.896416
11.0,11,0.898009
23.0,23,0.900802
19.0,19,0.903418
21.0,21,0.9061
30.0,30,0.910334
15.0,15,0.912471
21.0,21,0.915149
12.0,12,0.916808
19.0,19,0.919451
14.0,14,0.921113
19.0,19,0.923725
10.0,10,0.924832
27.0,27,0.928555
10.0,10,0.93012
24.0,24,0.933364
28.0,28,0.937077
26.0,26,0.940798
25.0,25,0.944214
16.0,16,0.946383
54.0,54,0.953856
30.0,30,0.957711
11.0,11,0.959287
24.0,24,0.99735
24.0,24,1.001331
31.0,31,1.006409
43.0,43,1.012405
42.0,42,1.018062
13.0,13,1.019699
14.0,14,1.021951
30.0,30,1.026046
25.0,25,1.029758
12.0,12,1.031416
13.0,13,1.033112
15.0,15,1.035296
37.0,37,1.040531
28.0,28,1.044309
15.0,15,1.046447
68.0,68,1.055836
18.0,18,1.058149
20.0,20,1.060934
28.0,28,1.064763
28.0,28,1.068664
12.0,12,1.070361
26.0,26,1.074094
19.0,19,1.076438
18.0,18,1.07917
16.0,16,1.081321
27.0,27,1.085148
34.0,34,1.089478
16.0,16,1.091653
28.0,28,1.09542
48.0,48,1.101966
20.0,20,1.104717
15.0,15,1.106812
19.0,19,1.109448
11.0,11,1.11065
15.0,15,1.112762
24.0,24,1.115952
20.0,20,1.118607
30.0,30,1.122836
16.0,16,1.125073
11.0,11,1.126231
13.0,13,1.128262
17.0,17,1.130413
24.0,24,1.1336
23.0,23,1.136898
19.0,19,1.139142
26.0,26,1.142835
22.0,22,1.145783
15.0,15,1.147935
16.0,16,1.150083
16.0,16,1.15221
19.0,19,1.154918
22.0,22,1.157724
11.0,11,1.159326
10.0,10,1.160871
24.0,24,1.16409
12.0,12,1.165702
43.0,43,1.171131
24.0,24,1.174317
17.0,17,1.176931
12.0,12,1.178654
13.0,13,1.180536
13.0,13,1.182387
21.0,21,1.185113
12.0,12,1.18676
21.0,21,1.190054
16.0,16,1.192211
26.0,26,1.195644
18.0,18,1.198312
21.0,21,1.201083
9.0,9,1.202191
13.0,13,1.203907
26.0,26,1.207772
62.0,62,1.215852
28.0,28,1.219695
15.0,15,1.221836
15.0,15,1.223965
72.0,72,1.233623
9.0,9,1.234718
23.0,23,1.237872
18.0,18,1.240057
10.0,10,1.241669
17.0,17,1.244723
16.0,16,1.247204
18.0,18,1.250146
16.0,16,1.252762
15.0,15,1.254791
11.0,11,1.256852
43.0,43,1.264135
15.0,15,1.26665
30.0,30,1.271342
29.0,29,1.287013
25.0,25,1.291559
10.0,10,1.292888
24.0,24,1.296601
15.0,15,1.299065
52.0,52,1.307067
19.0,19,1.309811
16.0,16,1.311933
12.0,12,1.313579
25.0,25,1.317039
13.0,13,1.318856
20.0,20,1.321603
14.0,14,1.323765
35.0,35,1.328207
27.0,27,1.331869
34.0,34,1.336784
18.0,18,1.339064
20.0,20,1.341805
10.0,10,1.343462
17.0,17,1.345667
15.0,15,1.347953
19.0,19,1.350328
12.0,12,1.351993
24.0,24,1.355285
47.0,47,1.361764
14.0,14,1.363812
11.0,11,1.365016
10.0,10,1.366663
13.0,13,1.36846
15.0,15,1.370592
30.0,30,1.374436
43.0,43,1.380279
17.0,17,1.382426
15.0,15,1.384649
22.0,22,1.387763
15.0,15,1.389438
12.0,12,1.391112
20.0,20,1.393841
13.0,13,1.395893
11.0,11,1.397043
23.0,23,1.400304
22.0,22,1.403624
25.0,25,1.40683
17.0,17,1.40909
17.0,17,1.411254
30.0,30,1.415421
13.0,13,1.417238
10.0,10,1.418996
15.0,15,1.421005
13.0,13,1.423348
41.0,41,1.429836
12.0,12,1.431735
12.0,12,1.43374
33.0,33,1.438625
19.0,19,1.441533
33.0,33,1.446273
42.0,42,1.453159
17.0,17,1.45571
26.0,26,1.459377
22.0,22,1.462713
35.0,35,1.467908
15.0,15,1.469721
44.0,44,1.475694
14.0,14,1.477922
18.0,18,1.480167
18.0,18,1.482795
18.0,18,1.485185
21.0,21,1.488318
12.0,12,1.489922
32.0,32,1.494216
15.0,15,1.495882
12.0,12,1.497584
41.0,41,1.503486
20.0,20,1.506193
24.0,24,1.509514
17.0,17,1.511712
13.0,13,1.513352
