#{"t_start": 1787584686.092246, "env_id": "CartPole-v1"}
r,l,t
18.0,18,0.665072
16.0,16,0.665526
11.0,11,0.665827
14.0,14,0.666187
11.0,11,0.666521
15.0,15,0.666913
24.0,24,0.699501
35.0,35,0.70566
27.0,27,0.71053
11.0,11,0.712587
56.0,56,0.721279
17.0,17,0.723923
14.0,14,0.726281
19.0,19,0.728786
18.0,18,0.731793
12.0,12,0.733708
42.0,42,0.740029
9.0,9,0.741792
20.0,20,0.744844
10.0,10,0.746334
11.0,11,0.748271
18.0,18,0.750891
22.0,22,0.754544
11.0,11,0.756473
16.0,16,0.759149
15.0,15,0.761279
12.0,12,0.763224
30.0,30,0.768053
14.0,14,0.769992
12.0,12,0.771964
8.0,8,0.773248
9.0,9,0.775055
9.0,9,0.776528
16.0,16,0.779069
14.0,14,0.781038
10.0,10,0.782858
16.0,16,0.785373
12.0,12,0.78732
16.0,16,0.789921
9.0,9,0.791265
10.0,10,0.793269
11.0,11,0.794853
13.0,13,0.797249
10.0,10,0.798759
13.0,13,0.800853
10.0,10,0.802849
12.0,12,0.804882
11.0,11,0.806856
8.0,8,0.808231
8.0,8,0.809571
14.0,14,0.811615
13.0,13,0.813742
18.0,18,0.816929
10.0,10,0.818384
8.0,8,0.819778
11.0,11,0.821761
10.0,10,0.823863
9.0,9,0.825397
13.0,13,0.82746
9.0,9,0.82893
9.0,9,0.830828
10.0,10,0.832285
10.0,10,0.834278
11.0,11,0.835803
9.0,9,0.837713
11.0,11,0.839298
10.0,10,0.84125
9.0,9,0.84268
8.0,8,0.84415
8.0,8,0.845585
8.0,8,0.84702
10.0,10,0.849
11.0,11,0.850588
10.0,10,0.852658
9.0,9,0.854205
10.0,10,0.856244
9.0,9,0.857749
10.0,10,0.859322
9.0,9,0.86119
12.0,12,0.863297
9.0,9,0.864822
10.0,10,0.866406
8.0,8,0.867835
10.0,10,0.869827
10.0,10,0.871419
9.0,9,0.873355
11.0,11,0.874929
8.0,8,0.876381
11.0,11,0.878383
10.0,10,0.88032
13.0,13,0.882362
9.0,9,0.883885
10.0,10,0.885905
9.0,9,0.887346
9.0,9,0.888835
10.0,10,0.890786
10.0,10,0.892418
9.0,9,0.89384
9.0,9,0.895753
11.0,11,0.897285
11.0,11,0.899352
10.0,10,0.901341
8.0,8,0.902802
8.0,8,0.904235
9.0,9,0.905775
11.0,11,0.907811
9.0,9,0.909342
12.0,12,0.911498
9.0,9,0.912958
11.0,11,0.914975
8.0,8,0.916357
9.0,9,0.917844
9.0,9,0.919337
9.0,9,0.921284
10.0,10,0.922895
10.0,10,0.924863
12.0,12,0.926931
12.0,12,0.928988
12.0,12,0.931006
10.0,10,0.932566
9.0,9,0.934077
9.0,9,0.936003
10.0,10,0.937551
9.0,9,0.939044
