#{"t_start": 1788112411.1213481, "env_id": "Pendulum-v1"}
r,l,t
-864.035396,200,0.025454
-1786.569125,200,0.063345
-1107.639999,200,0.100708
-859.098264,200,0.137134
-1004.337473,200,0.173371
-1596.935627,200,0.20919
-1473.265642,200,0.245126
-1262.429038,200,0.281621
-1465.787131,200,0.317759
-1115.00963,200,0.354064
-1613.659876,200,0.467618
-888.59175,200,0.501913
-972.831984,200,0.538001
-1677.543395,200,0.574571
-987.951699,200,0.611011
-1294.769421,200,0.647025
-1442.2638,200,0.68314
-1030.595164,200,0.718866
-810.643243,200,0.755898
-1587.97852,200,0.795196
-863.915985,200,0.91106
-1075.758859,200,0.947954
-884.831509,200,0.984268
-1253.457357,200,1.021952
-1570.630068,200,1.057964
-1191.003959,200,1.093574
-1687.814818,200,1.130924
-875.002416,200,1.166836
-883.063556,200,1.203379
-1135.999335,200,1.239562
-1163.762773,200,1.354489
-1414.034976,200,1.39186
-864.169026,200,1.4314
-1333.417956,200,1.470054
-986.697284,200,1.506649
-1070.40103,200,1.544014
-860.076454,200,1.580835
-909.077616,200,1.617359
-995.468236,200,1.653715
-1644.262456,200,1.691009
-1180.54541,200,1.806684
-860.544565,200,1.843807
-868.202919,200,1.880057
-884.744812,200,1.916262
-1524.913676,200,1.952879
-1441.475516,200,1.989045
-1824.828862,200,2.026305
-1764.753471,200,2.063682
-1558.424984,200,2.09992
-1302.376601,200,2.137869
-861.053552,200,2.253775
-1184.127342,200,2.292181
-1002.58544,200,2.329385
-856.576815,200,2.366234
-1687.918499,200,2.402255
-979.97578,200,2.43817
-1076.716087,200,2.474403
-1326.976169,200,2.510235
-1470.456398,200,2.54642
-1235.549224,200,2.583845
-965.480516,200,2.696192
-1783.41375,200,2.732743
-1171.287823,200,2.771001
-1546.883954,200,2.808473
-1637.843047,200,2.845794
-1007.652367,200,2.883171
-1475.146368,200,2.92082
-999.591513,200,2.95653
-1561.06744,200,2.992533
-1782.641796,200,3.029477
